customer_id,Frequency,Monetary,F_Score,M_Score,RFM_Score,Segment
12346.0,48,-64.67999999999302,2,1,21,Low Value Customer
12347.0,253,5633.32,4,4,44,VIP Customer
12348.0,51,2019.3999999999999,2,3,23,Regular Customer
12349.0,180,4404.54,4,4,44,VIP Customer
12350.0,17,334.40000000000003,1,2,12,Low Value Customer
12351.0,21,300.93,1,1,11,Low Value Customer
12352.0,113,1889.21,3,3,33,Loyal Customer
12353.0,24,406.76,2,2,22,Low Value Customer
12354.0,58,1079.4,3,3,33,Loyal Customer
12355.0,35,947.61,2,3,23,Regular Customer
12356.0,143,6373.68,3,4,34,Loyal Customer
12357.0,296,18287.66,4,4,44,VIP Customer
12358.0,77,3887.07,3,4,34,Loyal Customer
12359.0,375,8714.89,4,4,44,VIP Customer
12360.0,218,4212.89,4,4,44,VIP Customer
12361.0,29,511.25,2,2,22,Low Value Customer
12362.0,275,5284.58,4,4,44,VIP Customer
12363.0,23,552.0,2,2,22,Low Value Customer
12364.0,85,1313.1,3,3,33,Loyal Customer
12365.0,23,320.69,2,1,21,Low Value Customer
12366.0,3,500.24,1,2,12,Low Value Customer
12367.0,11,168.9,1,1,11,Low Value Customer
12368.0,18,917.7,1,3,13,Low Value Customer
12369.0,93,1791.15,3,3,33,Loyal Customer
12370.0,202,4320.31,4,4,44,VIP Customer
12371.0,167,4067.38,4,4,44,VIP Customer
12372.0,52,1298.04,2,3,23,Regular Customer
12373.0,51,1127.65,2,3,23,Regular Customer
12374.0,83,2989.2200000000003,3,4,34,Loyal Customer
12375.0,18,455.42,1,2,12,Low Value Customer
12376.0,13,503.15,1,2,12,Low Value Customer
12377.0,152,3426.32,4,4,44,VIP Customer
12378.0,301,5416.32,4,4,44,VIP Customer
12379.0,82,1618.27,3,3,33,Loyal Customer
12380.0,283,7888.0,4,4,44,VIP Customer
12381.0,91,1803.96,3,3,33,Loyal Customer
12382.0,1,-18.38,1,1,11,Low Value Customer
12383.0,100,1839.31,3,3,33,Loyal Customer
12384.0,30,566.16,2,2,22,Low Value Customer
12385.0,66,1923.4,3,3,33,Loyal Customer
12386.0,18,660.8000000000001,1,2,12,Low Value Customer
12387.0,9,143.94,1,1,11,Low Value Customer
12388.0,146,3901.11,4,4,44,VIP Customer
12389.0,49,1433.33,2,3,23,Regular Customer
12390.0,32,549.84,2,2,22,Low Value Customer
12391.0,287,2747.82,4,4,44,VIP Customer
12392.0,7,234.75000000000003,1,1,11,Low Value Customer
12393.0,112,2376.75,3,4,34,Loyal Customer
12394.0,27,1272.48,2,3,23,Regular Customer
