customer_id,Frequency,Monetary,F_Score,M_Score,RFM_Score
12346.0,48,-64.67999999999302,2,1,21
12347.0,253,5633.32,4,4,44
12348.0,51,2019.3999999999999,2,3,23
12349.0,180,4404.54,4,4,44
12350.0,17,334.40000000000003,1,2,12
12351.0,21,300.93,1,1,11
12352.0,113,1889.21,3,3,33
12353.0,24,406.76,2,2,22
12354.0,58,1079.4,3,3,33
12355.0,35,947.61,2,3,23
12356.0,143,6373.68,3,4,34
12357.0,296,18287.66,4,4,44
12358.0,77,3887.07,3,4,34
12359.0,375,8714.89,4,4,44
12360.0,218,4212.89,4,4,44
12361.0,29,511.25,2,2,22
12362.0,275,5284.58,4,4,44
12363.0,23,552.0,2,2,22
12364.0,85,1313.1,3,3,33
12365.0,23,320.69,2,1,21
12366.0,3,500.24,1,2,12
12367.0,11,168.9,1,1,11
12368.0,18,917.7,1,3,13
12369.0,93,1791.15,3,3,33
12370.0,202,4320.31,4,4,44
12371.0,167,4067.38,4,4,44
12372.0,52,1298.04,2,3,23
12373.0,51,1127.65,2,3,23
12374.0,83,2989.2200000000003,3,4,34
12375.0,18,455.42,1,2,12
12376.0,13,503.15,1,2,12
12377.0,152,3426.32,4,4,44
12378.0,301,5416.32,4,4,44
12379.0,82,1618.27,3,3,33
12380.0,283,7888.0,4,4,44
12381.0,91,1803.96,3,3,33
12382.0,1,-18.38,1,1,11
12383.0,100,1839.31,3,3,33
12384.0,30,566.16,2,2,22
12385.0,66,1923.4,3,3,33
12386.0,18,660.8000000000001,1,2,12
12387.0,9,143.94,1,1,11
12388.0,146,3901.11,4,4,44
12389.0,49,1433.33,2,3,23
12390.0,32,549.84,2,2,22
12391.0,287,2747.82,4,4,44
12392.0,7,234.75000000000003,1,1,11
12393.0,112,2376.75,3,4,34
12394.0,27,1272.48,2,3,23
12395.0,257,5046.92,4,4,44
12396.0,65,931.4300000000001,3,3,33
12397.0,126,2409.9,3,4,34
12398.0,85,1635.6599999999999,3,3,33
12399.0,110,1962.3,3,3,33
12400.0,11,205.25,1,1,11
12401.0,5,84.3,1,1,11
12402.0,71,1244.15,3,3,33
12403.0,10,1001.36,1,3,13
12404.0,1,63.24,1,1,11
12405.0,54,1710.39,3,3,33
12406.0,170,6072.21,4,4,44
12407.0,77,1708.12,3,3,33
12408.0,170,4279.64,4,4,44
12409.0,272,23090.47,4,4,44
12410.0,42,1001.46,2,3,23
12411.0,22,346.9,2,2,22
12412.0,131,2581.03,3,4,34
12413.0,53,935.5,2,3,23
12414.0,37,692.4100000000001,2,2,22
12415.0,990,143269.29,4,4,44
12416.0,11,202.56,1,1,11
12417.0,381,6708.21,4,4,44
12418.0,103,2016.95,3,3,33
12419.0,25,503.01,2,2,22
12420.0,29,600.39,2,2,22
12421.0,67,1092.83,3,3,33
12422.0,176,4119.35,4,4,44
12423.0,166,2612.19,4,4,44
12424.0,97,3289.7799999999997,3,4,34
12425.0,95,1680.81,3,3,33
12426.0,82,1311.41,3,3,33
12427.0,45,1011.87,2,3,23
12428.0,300,7877.2,4,4,44
12429.0,174,7435.51,4,4,44
12430.0,11,256.4,1,1,11
12431.0,413,10719.41,4,4,44
12432.0,108,5059.32,3,4,34
12433.0,707,20428.86,4,4,44
12434.0,74,1062.48,3,3,33
12435.0,112,13925.93,3,4,34
12436.0,16,509.01,1,2,12
12437.0,583,12394.85,4,4,44
12438.0,98,2906.85,3,4,34
12439.0,75,1104.48,3,3,33
12440.0,35,768.15,2,2,22
12441.0,22,347.1,2,2,22
12442.0,12,172.06,1,1,11
12443.0,21,485.31,1,2,12
12444.0,177,5005.46,4,4,44
12445.0,25,426.48,2,2,22
12446.0,58,1002.3100000000001,3,3,33
12447.0,26,476.49,2,2,22
12448.0,22,449.45,2,2,22
12449.0,201,4835.89,4,4,44
12450.0,40,666.95,2,2,22
12451.0,514,12546.53,4,4,44
12452.0,23,428.57000000000005,2,2,22
12453.0,43,707.09,2,2,22
12454.0,72,4292.71,3,4,34
12455.0,227,5879.95,4,4,44
12456.0,129,3153.89,3,4,34
12457.0,93,2472.31,3,4,34
12458.0,84,1777.49,3,3,33
12459.0,23,454.36,2,2,22
12460.0,18,326.65,1,2,12
12461.0,35,826.88,2,2,22
12462.0,72,1124.01,3,3,33
12463.0,88,1303.63,3,3,33
12464.0,29,1212.05,2,3,23
12465.0,51,733.89,2,2,22
12466.0,1,56.73,1,1,11
12467.0,18,0.0,1,1,11
12468.0,163,3624.55,4,4,44
12469.0,76,3070.54,3,4,34
12470.0,23,211.95,2,1,21
12471.0,1298,37948.61,4,4,44
12472.0,1049,16956.69,4,4,44
12473.0,179,2848.23,4,4,44
12474.0,764,11966.45,4,4,44
12475.0,61,1149.64,3,3,33
12476.0,564,13715.62,4,4,44
12477.0,572,20173.64,4,4,44
12478.0,36,680.99,2,2,22
12479.0,35,477.3,2,2,22
12480.0,245,5435.1,4,4,44
12481.0,395,12217.03,4,4,44
12482.0,207,21893.53,4,4,44
12483.0,148,4846.87,4,4,44
12484.0,484,6303.85,4,4,44
12485.0,34,708.1,2,2,22
12486.0,49,1037.28,2,3,23
12487.0,3,259.8,1,1,11
12488.0,55,1298.66,3,3,33
12489.0,15,334.93,1,2,12
12490.0,463,9818.64,4,4,44
12491.0,26,460.40000000000003,2,2,22
12492.0,42,715.21,2,2,22
12493.0,23,416.79,2,2,22
12494.0,122,1743.52,3,3,33
12495.0,19,323.4,1,1,11
12496.0,13,54.09,1,1,11
12497.0,58,6211.75,3,4,34
12498.0,23,403.70000000000005,2,2,22
12499.0,27,393.72,2,2,22
12500.0,156,5872.3099999999995,4,4,44
12501.0,160,2089.68,4,3,43
12502.0,147,3723.87,4,4,44
12503.0,3,0.0,1,1,11
12504.0,26,411.0,2,2,22
12505.0,47,908.0,2,3,23
12506.0,23,73.5,2,1,21
12507.0,51,1797.31,2,3,23
12508.0,69,398.27,3,2,32
12509.0,7,176.5,1,1,11
12510.0,154,3689.33,4,4,44
12511.0,194,3065.77,4,4,44
12512.0,34,138.03,2,1,21
12513.0,36,586.79,2,2,22
12514.0,84,1597.76,3,3,33
12515.0,16,383.7,1,2,12
12516.0,74,2648.62,3,4,34
12517.0,286,2464.89,4,4,44
12518.0,124,2056.89,3,3,33
12519.0,42,695.19,2,2,22
12520.0,155,2582.51,4,4,44
12521.0,38,599.68,2,2,22
12522.0,12,192.72,1,1,11
12523.0,265,4220.85,4,4,44
12524.0,242,11091.36,4,4,44
12525.0,77,835.1800000000001,3,2,32
12526.0,71,1316.66,3,3,33
12527.0,32,735.51,2,2,22
12528.0,95,1922.28,3,3,33
12529.0,23,311.78000000000003,2,1,21
12530.0,162,3689.86,4,4,44
12531.0,133,1899.05,3,3,33
12532.0,16,349.83000000000004,1,2,12
12533.0,90,1149.99,3,3,33
12534.0,63,1089.18,3,3,33
12535.0,34,716.35,2,2,22
12536.0,273,4106.82,4,4,44
12537.0,43,732.94,2,2,22
12538.0,34,640.45,2,2,22
12539.0,505,9498.9,4,4,44
12540.0,775,22107.29,4,4,44
12541.0,52,981.18,2,3,23
12542.0,45,423.38,2,2,22
12543.0,43,980.25,2,3,23
12544.0,20,355.7,1,2,12
12545.0,50,1000.39,2,3,23
12546.0,70,1141.5,3,3,33
12547.0,21,383.58,1,2,12
12548.0,5,95.19999999999999,1,1,11
12549.0,49,1575.68,2,3,23
12550.0,57,964.83,3,3,33
12551.0,10,168.0,1,1,11
12552.0,20,437.82,1,2,12
12553.0,244,4548.82,4,4,44
12554.0,26,468.5,2,2,22
12555.0,1,129.23,1,1,11
12556.0,121,603.71,3,2,32
12557.0,58,18716.14,3,4,34
12558.0,22,1.0658141036401503e-14,2,1,21
12559.0,22,536.21,2,2,22
12560.0,111,2101.39,3,3,33
12561.0,16,238.85,1,1,11
12562.0,207,4966.92,4,4,44
12563.0,13,249.24,1,1,11
12564.0,21,456.90000000000003,1,2,12
12565.0,10,131.17000000000002,1,1,11
12566.0,20,346.7,1,2,12
12567.0,658,13393.82,4,4,44
12568.0,5,70.0,1,1,11
12569.0,191,4064.9900000000002,4,4,44
12570.0,1,77.52,1,1,11
12571.0,34,519.61,2,2,22
12572.0,62,1004.72,3,3,33
12573.0,119,717.41,3,2,32
12574.0,11,218.45000000000002,1,1,11
12575.0,38,622.82,2,2,22
12576.0,147,2083.87,4,3,43
12577.0,303,1591.35,4,3,43
12578.0,181,4572.45,4,4,44
12579.0,31,410.72,2,2,22
12580.0,58,1052.9,3,3,33
12581.0,15,197.71,1,1,11
12582.0,103,1980.4,3,3,33
12583.0,471,14344.9,4,4,44
12584.0,126,1893.95,3,3,33
12585.0,97,1982.81,3,3,33
12586.0,96,2028.67,3,3,33
12587.0,4,144.0,1,1,11
12588.0,48,938.98,2,3,23
12589.0,212,3094.17,4,4,44
12590.0,72,9853.48,3,4,34
12591.0,69,1352.15,3,3,33
12592.0,84,1152.62,3,3,33
12593.0,21,418.1,1,2,12
12594.0,202,5044.51,4,4,44
12595.0,19,299.02,1,1,11
12596.0,27,618.27,2,2,22
12597.0,214,3683.13,4,4,44
12598.0,211,4414.67,4,4,44
12599.0,133,2296.72,3,4,34
12600.0,140,4955.79,3,4,34
12601.0,35,673.76,2,2,22
12602.0,12,153.12,1,1,11
12603.0,3,739.1999999999999,1,2,12
12604.0,16,254.18,1,1,11
12605.0,82,1217.95,3,3,33
12606.0,1,21.0,1,1,11
12607.0,202,7.105427357601002e-15,4,1,41
12608.0,16,415.79,1,2,12
12609.0,176,3417.86,4,4,44
12610.0,111,2057.99,3,3,33
12611.0,65,1193.32,3,3,33
12612.0,21,643.59,1,2,12
12613.0,347,6591.52,4,4,44
12614.0,20,315.6,1,1,11
12615.0,278,5564.88,4,4,44
12616.0,59,1045.35,3,3,33
12617.0,42,355.53000000000003,2,2,22
12618.0,11,177.31,1,1,11
12619.0,105,3354.95,3,4,34
12620.0,92,1339.41,3,3,33
12621.0,786,24579.31,4,4,44
12622.0,11,180.1,1,1,11
12623.0,176,3639.84,4,4,44
12624.0,38,641.13,2,2,22
12625.0,188,5095.38,4,4,44
12626.0,307,6388.35,4,4,44
12627.0,230,4478.53,4,4,44
12628.0,43,769.61,2,2,22
12629.0,45,1558.22,2,3,23
12630.0,64,1270.88,3,3,33
12631.0,186,3452.27,4,4,44
12632.0,38,738.88,2,2,22
12633.0,313,5595.21,4,4,44
12634.0,20,490.0,1,2,12
12635.0,179,2930.41,4,4,44
12636.0,1,141.0,1,1,11
12637.0,639,8271.66,4,4,44
12638.0,48,921.49,2,3,23
12639.0,64,1312.3700000000001,3,3,33
12640.0,53,1174.58,2,3,23
12641.0,10,185.9,1,1,11
12642.0,47,1013.26,2,3,23
12643.0,56,7880.9,3,4,34
12644.0,123,1815.54,3,3,33
12645.0,163,3499.1,4,4,44
12646.0,45,1346.97,2,3,23
12647.0,574,17682.79,4,4,44
12648.0,66,1097.0,3,3,33
12649.0,124,2238.7,3,4,34
12650.0,20,314.44,1,1,11
12651.0,32,365.3,2,2,22
12652.0,54,1011.58,3,3,33
12653.0,86,4160.83,3,4,34
12654.0,38,601.98,2,2,22
12655.0,16,261.35,1,1,11
12656.0,253,6320.78,4,4,44
12657.0,56,1152.06,3,3,33
12658.0,36,686.05,2,2,22
12659.0,5,91.68,1,1,11
12660.0,13,245.10000000000002,1,1,11
12661.0,11,162.0,1,1,11
12662.0,411,6949.17,4,4,44
12663.0,11,204.0,1,1,11
12664.0,46,6052.04,2,4,24
12665.0,21,301.45,1,1,11
12666.0,33,1020.98,2,3,23
12667.0,33,620.13,2,2,22
12668.0,546,11380.710000000001,4,4,44
12669.0,102,1607.73,3,3,33
12670.0,117,3750.3900000000003,3,4,34
12671.0,45,2622.481,2,4,24
12672.0,25,410.5,2,2,22
12673.0,74,1230.02,3,3,33
12674.0,91,1919.31,3,3,33
12675.0,115,934.8,3,3,33
12676.0,108,2773.09,3,4,34
12677.0,23,389.3,2,2,22
12678.0,381,33851.13,4,4,44
12679.0,56,1058.67,3,3,33
12680.0,53,880.81,2,3,23
12681.0,1494,30551.760000000002,4,4,44
12682.0,1042,23945.81,4,4,44
12683.0,561,12418.6,4,4,44
12684.0,105,2283.63,3,4,34
12685.0,157,2863.08,4,4,44
12686.0,14,178.28,1,1,11
12687.0,126,2138.91,3,3,33
12688.0,171,4873.81,4,4,44
12689.0,72,1247.6100000000001,3,3,33
12690.0,16,389.01,1,2,12
12691.0,39,1170.4,2,3,23
12692.0,13,110.95,1,1,11
12693.0,83,1640.42,3,3,33
12694.0,84,1839.45,3,3,33
12695.0,59,1407.1200000000001,3,3,33
12696.0,50,801.15,2,2,22
12697.0,43,939.02,2,3,23
12698.0,16,339.75,1,2,12
12699.0,41,638.11,2,2,22
12700.0,270,4867.99,4,4,44
12701.0,147,2446.41,4,4,44
12702.0,12,219.0,1,1,11
12703.0,84,892.1800000000001,3,3,33
12704.0,90,2220.84,3,4,34
12705.0,626,11554.0,4,4,44
12706.0,1,-91.89,1,1,11
12707.0,33,603.42,2,2,22
12708.0,336,5118.16,4,4,44
12709.0,588,30312.61,4,4,44
12710.0,79,1130.57,3,3,33
12711.0,60,1339.05,3,3,33
12712.0,294,6979.66,4,4,44
12713.0,38,848.55,2,3,23
12714.0,696,14093.710000000001,4,4,44
12715.0,21,353.86,1,2,12
12716.0,69,1053.49,3,3,33
12717.0,72,1258.91,3,3,33
12718.0,19,238.25,1,1,11
12719.0,42,608.1,2,2,22
